stock,country,indicator,entry_date,entry_price,exit_price,pnl_pct,max_drawdown_pct,tier,hold_days
0027.HK,HK,L17,2025-10-24,39.0,40.3199996948242,3.3846146021133268,-0.7692288129756337,S+⚡⚡,5
0142.HK,HK,L17,2025-10-27,6.42999982833862,5.88000011444092,-8.553650522255289,-9.02021678367463,S+⚡⚡,5
0302.HK,HK,L17,2025-09-12,0.5,0.400000005960464,-19.999998807907204,-20.9999978542328,S+⚡⚡,5
0338.HK,HK,L17,2025-05-12,1.22000002861023,1.22000002861023,0.0,-0.8196713302254175,S+⚡⚡,5
0354.HK,HK,L17,2025-10-28,5.90999984741211,5.26000022888184,-10.998301781934797,-16.243655887188186,S+⚡⚡,5
0354.HK,HK,L17,2025-11-03,5.92000007629395,4.57999992370605,-22.635137420923297,-25.00000000000004,S+⚡⚡,5
0388.HK,HK,L17,2025-11-06,433.0,416.600006103516,-3.787527458772281,-8.775981524249422,S+⚡⚡,5
0568.HK,HK,L17,2025-02-10,1.12000000476837,1.30999994277954,16.96428010734377,-3.5714251502438605,S+⚡⚡,5
0586.HK,HK,L17,2025-11-06,10.1000003814697,10.8599996566772,7.524745014879978,-5.445546237244865,S+⚡⚡,5
0598.HK,HK,L17,2025-04-23,3.52999997138977,4.84999990463257,37.39376611731565,-5.099152074109888,S+⚡⚡,5
0598.HK,HK,L17,2025-12-02,5.34000015258789,5.05999994277954,-5.243449472050201,-9.176034343704167,S+⚡⚡,5
0683.HK,HK,L17,2025-09-10,20.8799991607666,20.2600002288818,-2.96934366285692,-4.3582369922791315,S+⚡⚡,5
0772.HK,HK,L17,2025-10-24,39.1399993896484,32.939998626709,-15.840574500824228,-18.03780702270757,S+⚡⚡,5
0819.HK,HK,L17,2025-12-12,7.32999992370605,7.17000007629395,-2.182808309378597,-4.774896429406787,S+⚡⚡,5
0856.HK,HK,L17,2025-10-24,10.0299997329712,7.82000017166138,-22.03389451791291,-24.626120198908207,S+⚡⚡,5
0856.HK,HK,L17,2025-11-06,9.1899995803833,7.8600001335144,-14.472247090281462,-17.7366671602805,S+⚡⚡,5
1030.HK,HK,L17,2025-09-10,2.5,2.23000001907349,-10.799999237060405,-13.199996948241994,S+⚡⚡,5
1055.HK,HK,L17,2025-01-28,3.71000003814697,3.32999992370605,-10.242590580422702,-20.485174734468377,S+⚡⚡,5
1055.HK,HK,L17,2025-02-24,3.61999988555908,3.24000000953674,-10.497234476117995,-18.50828339934834,S+⚡⚡,5
1071.HK,HK,L17,2025-07-14,4.28000020980835,4.17000007629395,-2.57009645145147,-3.03738570252876,S+⚡⚡,5
1099.HK,HK,L17,2025-02-06,20.6000003814697,17.1200008392334,-16.893201348513877,-18.737866693554455,S+⚡⚡,5
1317.HK,HK,L17,2025-04-22,0.354999989271164,0.310000002384186,-12.676053027315753,-14.084502430904275,S+⚡⚡,5
1317.HK,HK,L17,2025-11-19,0.389999985694885,0.384999990463257,-1.2820501064171068,-5.128200425668697,S+⚡⚡,5
1317.HK,HK,L17,2025-11-21,0.389999985694885,0.365000009536743,-6.410250532086074,-6.410250532086074,S+⚡⚡,5
1508.HK,HK,L17,2026-03-05,1.67999994754791,1.37000000476837,-18.452378122511778,-20.833328307147976,S+⚡⚡,5
1508.HK,HK,L17,2026-03-10,1.75999999046326,1.37000000476837,-22.15909021637186,-24.43181533397265,S+⚡⚡,5
1585.HK,HK,L17,2024-12-09,11.7799997329712,12.8000001907349,8.658747715492787,-3.2258074962201637,S+⚡⚡,5
1686.HK,HK,L17,2025-09-17,6.98000001907349,6.05000019073486,-13.323779739216624,-14.75644995693094,S+⚡⚡,5
1801.HK,HK,L17,2025-10-06,100.5,94.9000015258789,-5.5721377851951175,-20.199008011699302,S+⚡⚡,5
1816.HK,HK,L17,2025-09-30,2.89000010490417,3.08999991416931,6.9204083738873114,3.1141837682495273,S+⚡⚡,5
1817.HK,HK,L17,2025-10-08,0.395000010728836,0.33500000834465,-15.189873608731489,-16.455695151977075,S+⚡⚡,5
1817.HK,HK,L17,2025-10-27,0.365000009536743,0.33500000834465,-8.2191781940414,-9.589039865544901,S+⚡⚡,5
